Date,Value
2021-09-30,62.1
2021-08-31,61.79
2021-07-31,61.43
2021-06-30,61.23
2021-05-31,61.72
2021-04-30,62.13
2021-03-31,62.56
2021-02-28,63.23
2021-01-31,63.82
2020-12-31,64.33
2020-11-30,64.6
2020-10-31,64.77
2020-09-30,65.01
2020-08-31,65.4
2020-07-31,65.92
2020-06-30,66.56
2020-05-31,66.89
2020-04-30,66.85
2020-03-31,66.36
2020-02-29,65.72
2020-01-31,65.41
2019-12-31,65.16
2019-11-30,64.72
2019-10-31,64.31
2019-09-30,64.07
2019-08-31,63.69
2019-07-31,63.26
2019-06-30,62.94
2019-05-31,62.53
2019-04-30,62.23
2019-03-31,62.13
2019-02-28,62.03
2019-01-31,61.84
2018-12-31,61.51
2018-11-30,60.78
2018-10-31,60.04
2018-09-30,59.61
2018-08-31,59.17
2018-07-31,58.69
2018-06-30,58.18
2018-05-31,57.89
2018-04-30,57.76
2018-03-31,57.61
2018-02-28,57.33
2018-01-31,57.17
2017-12-31,57.07
2017-11-30,56.74
2017-10-31,56.44
2017-09-30,56.11
2017-08-31,56.04
2017-07-31,55.83
2017-06-30,55.42
2017-05-31,55.14
2017-04-30,54.86
2017-03-31,54.7
2017-02-28,54.47
2017-01-31,54.38
2016-12-31,54.42
2016-11-30,54.17
2016-10-31,53.82
2016-09-30,53.62
2016-08-31,53.52
2016-07-31,53.35
2016-06-30,53.04
2016-05-31,52.98
2016-04-30,52.96
2016-03-31,52.97
2016-02-29,53.0
2016-01-31,52.85
2015-12-31,52.74
2015-11-30,52.2
2015-10-31,51.74
2015-09-30,51.36
2015-08-31,50.98
2015-07-31,50.59
2015-06-30,50.29
2015-05-31,50.09
2015-04-30,49.97
2015-03-31,49.69
2015-02-28,49.43
2015-01-31,49.08
2014-12-31,48.29
2014-11-30,47.64
2014-10-31,47.0
2014-09-30,46.5
2014-08-31,46.08
2014-07-31,45.56
2014-06-30,45.09
2014-05-31,44.71
2014-04-30,44.4
2014-03-31,44.08
2014-02-28,43.86
2014-01-31,43.51
2013-12-31,43.17
2013-11-30,42.92
2013-10-31,42.59
2013-09-30,42.24
2013-08-31,41.83
2013-07-31,41.41
2013-06-30,40.96
2013-05-31,40.58
2013-04-30,40.18
2013-03-31,39.66
2013-02-28,39.41
2013-01-31,39.37
2012-12-31,39.13
2012-11-30,38.33
2012-10-31,37.46
2012-09-30,36.76
2012-08-31,36.4
2012-07-31,36.07
2012-06-30,35.48
2012-05-31,35.03
2012-04-30,34.58
2012-03-31,34.28
2012-02-29,34.15
2012-01-31,33.91
2011-12-31,33.67
2011-11-30,33.06
2011-10-31,32.5
2011-09-30,31.91
2011-08-31,31.6
2011-07-31,31.33
2011-06-30,31.0
2011-05-31,30.58
2011-04-30,30.34
2011-03-31,30.15
2011-02-28,30.14
2011-01-31,29.98
2010-12-31,29.81
2010-11-30,29.7
2010-10-31,29.55
2010-09-30,29.42
2010-08-31,29.3
2010-07-31,29.2
2010-06-30,29.07
2010-05-31,28.98
2010-04-30,28.94
