"DATE","value"
"1974-01-01",-0.779999999999999
"1974-02-01",-0.16
"1974-03-01",-0.75
"1974-04-01",-0.82
"1974-05-01",-0.65
"1974-06-01",-0.36
"1974-07-01",0.26
"1974-08-01",-0.920000000000002
"1974-09-01",-0.0200000000000014
"1974-10-01",0.44
"1974-11-01",0.21
"1974-12-01",0.279999999999999
"1975-01-01",1.24
"1975-02-01",1.89
"1975-03-01",2.24
"1975-04-01",2.62
"1975-05-01",2.83
"1975-06-01",2.52
"1975-07-01",1.93
"1975-08-01",1.96
"1975-09-01",2.01
"1975-10-01",2.18
"1975-11-01",2.57
"1975-12-01",2.56
"1976-01-01",2.87
"1976-02-01",2.91
"1976-03-01",2.73
"1976-04-01",2.7
"1976-05-01",2.7
"1976-06-01",2.45
"1976-07-01",2.6
"1976-08-01",2.63
"1976-09-01",2.51
"1976-10-01",2.49
"1976-11-01",2.54
"1976-12-01",2.52
"1977-01-01",2.59
"1977-02-01",2.72
"1977-03-01",2.86
"1977-04-01",2.83
"1977-05-01",2.5
"1977-06-01",2.26
"1977-07-01",2.14
"1977-08-01",1.91
"1977-09-01",1.53
"1977-10-01",1.36
"1977-11-01",1.48
"1977-12-01",1.62
"1978-01-01",1.52
"1978-02-01",1.58
"1978-03-01",1.75
"1978-04-01",1.86
"1978-05-01",1.94
"1978-06-01",1.73
"1978-07-01",1.63
"1978-08-01",1.33
"1978-09-01",0.57
"1978-10-01",0.65
"1978-11-01",0.17
"1978-12-01",-0.0700000000000003
"1979-01-01",-0.25
"1979-02-01",-0.220000000000001
"1979-03-01",-0.360000000000001
"1979-04-01",-0.280000000000001
"1979-05-01",-0.359999999999999
"1979-06-01",-0.15
"1979-07-01",-0.290000000000001
"1979-08-01",-0.49
"1979-09-01",-0.93
"1979-10-01",-1.4
"1979-11-01",-1.14
"1979-12-01",-1.65
"1980-01-01",-1.2
"1980-02-01",-0.449999999999999
"1980-03-01",-2.45
"1980-04-01",-1.73
"1980-05-01",1.6
"1980-06-01",2.71
"1980-07-01",2.19
"1980-08-01",1.97
"1980-09-01",1.24
"1980-10-01",0.130000000000001
"1980-11-01",-1.05
"1980-12-01",-2.65
"1981-01-01",-2.45
"1981-02-01",-1.6
"1981-03-01",-0.24
"1981-04-01",-0.00999999999999979
"1981-05-01",-2.2
"1981-06-01",-1.26
"1981-07-01",-0.67
"1981-08-01",-0.57
"1981-09-01",0.620000000000001
"1981-10-01",1.61
"1981-11-01",2.53
"1981-12-01",2.87
"1982-01-01",2.31
"1982-02-01",0.949999999999999
"1982-03-01",1.18
"1982-04-01",1.17
"1982-05-01",1.53
"1982-06-01",1.83
"1982-07-01",2.6
"1982-08-01",4.38
"1982-09-01",4.42
"1982-10-01",3.2
"1982-11-01",2.48
"1982-12-01",2.6
"1983-01-01",2.6
"1983-02-01",2.61
"1983-03-01",2.16
"1983-04-01",2.19
"1983-05-01",2.19
"1983-06-01",2.06
"1983-07-01",2.3
"1983-08-01",2.51
"1983-09-01",2.65
"1983-10-01",2.9
"1983-11-01",2.93
"1983-12-01",2.83
"1984-01-01",2.77
"1984-02-01",2.75
"1984-03-01",2.8
"1984-04-01",2.94
"1984-05-01",3.58
"1984-06-01",3.69
"1984-07-01",3.24
"1984-08-01",2.25
"1984-09-01",2.15
"1984-10-01",2.42
"1984-11-01",2.96
"1984-12-01",3.44
"1985-01-01",3.62
"1985-02-01",3.24
"1985-03-01",3.34
"1985-04-01",3.48
"1985-05-01",3.37
"1985-06-01",3.21
"1985-07-01",3.23
"1985-08-01",3.19
"1985-09-01",3.27
"1985-10-01",3.08
"1985-11-01",2.54
"1985-12-01",2.16
"1986-01-01",2.12
"1986-02-01",1.64
"1986-03-01",1.22
"1986-04-01",1.24
"1986-05-01",1.56
"1986-06-01",1.59
"1986-07-01",1.47
"1986-08-01",1.64
"1986-09-01",2.24
"1986-10-01",2.25
"1986-11-01",1.9
"1986-12-01",1.58
"1987-01-01",1.65
"1987-02-01",1.66
"1987-03-01",1.66
"1987-04-01",2.38
"1987-05-01",2.95
"1987-06-01",2.73
"1987-07-01",2.76
"1987-08-01",2.72
"1987-09-01",3.02
"1987-10-01",3.39
"1987-11-01",3.17
"1987-12-01",3.22
"1988-01-01",2.86
"1988-02-01",2.55
"1988-03-01",2.67
"1988-04-01",2.81
"1988-05-01",2.83
"1988-06-01",2.46
"1988-07-01",2.33
"1988-08-01",2.2
"1988-09-01",1.74
"1988-10-01",1.45
"1988-11-01",1.2
"1988-12-01",1.04
"1989-01-01",0.82
"1989-02-01",0.640000000000001
"1989-03-01",0.539999999999999
"1989-04-01",0.529999999999999
"1989-05-01",0.43
"1989-06-01",0.129999999999999
"1989-07-01",0.14
"1989-08-01",0.209999999999999
"1989-09-01",0.44
"1989-10-01",0.37
"1989-11-01",0.18
"1989-12-01",0.21
"1990-01-01",0.570000000000001
"1990-02-01",0.73
"1990-03-01",0.69
"1990-04-01",1.02
"1990-05-01",1.02
"1990-06-01",0.75
"1990-07-01",0.850000000000001
"1990-08-01",1.3
"1990-09-01",1.53
"1990-10-01",1.55
"1990-11-01",1.33
"1990-12-01",1.34
"1991-01-01",1.87
"1991-02-01",1.91
"1991-03-01",2.2
"1991-04-01",2.39
"1991-05-01",2.61
"1991-06-01",2.71
"1991-07-01",2.69
"1991-08-01",2.57
"1991-09-01",2.43
"1991-10-01",2.54
"1991-11-01",2.86
"1991-12-01",3.02
"1992-01-01",3.23
"1992-02-01",3.5
"1992-03-01",3.5
"1992-04-01",3.73
"1992-05-01",3.76
"1992-06-01",3.6
"1992-07-01",3.63
"1992-08-01",3.46
"1992-09-01",3.51
"1992-10-01",3.73
"1992-11-01",3.74
"1992-12-01",3.55
"1993-01-01",3.6
"1993-02-01",3.33
"1993-03-01",3.03
"1993-04-01",3.1
"1993-05-01",3.08
"1993-06-01",2.89
"1993-07-01",2.77
"1993-08-01",2.66
"1993-09-01",2.41
"1993-10-01",2.31
"1993-11-01",2.62
"1993-12-01",2.71
"1994-01-01",2.77
"1994-02-01",2.72
"1994-03-01",2.98
"1994-04-01",3.29
"1994-05-01",3.04
"1994-06-01",2.96
"1994-07-01",2.97
"1994-08-01",2.76
"1994-09-01",2.84
"1994-10-01",2.79
"1994-11-01",2.67
"1994-12-01",2.21
"1995-01-01",2.07
"1995-02-01",1.7
"1995-03-01",1.47
"1995-04-01",1.41
"1995-05-01",0.96
"1995-06-01",0.7
"1995-07-01",0.86
