"DATE","MMMFFAQ027S"
1974-01-01,263
1974-02-01,281.807807824377
1974-03-01,388.239906589809
1974-04-01,570
1974-05-01,812.633077494352
1974-06-01,1093.04927145506
1974-07-01,1386
1974-08-01,1677.03025256859
1974-09-01,1994.85930388627
1974-10-01,2379
1974-11-01,2842.87554186093
1974-12-01,3295.55055003692
1975-01-01,3620
1975-02-01,3736.50461702472
1975-03-01,3714.56812559568
1975-04-01,3661
1975-05-01,3657.77265670685
1975-06-01,3687.51028091367
1975-07-01,3708
1975-08-01,3690.1084598516
1975-09-01,3657.02038037925
1975-10-01,3645
1975-11-01,3676.01572610899
1975-12-01,3714.85264201378
1976-01-01,3712
1976-02-01,3635.42122830503
1976-03-01,3522.97645897306
1976-04-01,3430
1976-05-01,3397.00306437461
1976-06-01,3405.20448505696
1976-07-01,3421
1976-08-01,3419.15910678914
1976-09-01,3407.94634153983
1976-10-01,3404
1976-11-01,3418.69384180216
1976-12-01,3442.34348211706
1977-01-01,3460
1977-02-01,3460.99145192813
1977-03-01,3451.753804066
1977-04-01,3443
1977-05-01,3443.08109122604
1977-06-01,3450.90056087819
1977-07-01,3463
1977-08-01,3490.61010909361
1977-09-01,3603.71802649533
1977-10-01,3887
1977-11-01,4388.66365758469
1977-12-01,5011.04214795531
1978-01-01,5620
1978-02-01,6115.9945198269
1978-03-01,6537.85412242417
1978-04-01,6959
1978-05-01,7432.65455940402
1978-06-01,7931.24506605171
1978-07-01,8407
1978-08-01,8870.9798351496
1978-09-01,9569.57302077638
1978-10-01,10808
1978-11-01,12787.9816555531
1978-12-01,15297.2406286205
1979-01-01,18020
1979-02-01,20699.8713204157
1979-03-01,23318.0200202971
1979-04-01,25915
1979-05-01,28539.1256553768
1979-06-01,31269.7533642653
1979-07-01,34194
1979-08-01,37406.9223543736
1979-09-01,41035.3368930121
1979-10-01,45214
1979-11-01,50036.6664086104
1979-12-01,55433.0842488715
1980-01-01,61292
1980-02-01,67402.0046037772
1980-03-01,73151.0668522426
1980-04-01,77827
1980-05-01,80777.1299910954
1980-06-01,81586.8335273432
1980-07-01,79901
1980-08-01,76108.8087651745
1980-09-01,73576.5990383845
1980-10-01,76415
1980-11-01,87103.6349482067
1980-12-01,101598.103652452
1981-01-01,114223
1981-02-01,120997.169960517
1981-03-01,124716.467833288
1981-04-01,129871
1981-05-01,139677.648172687
1981-06-01,152260.395384766
1981-07-01,164470
1981-08-01,173858.607719104
1981-09-01,180783.91359061
1981-10-01,186305
1981-11-01,191247.550580526
1981-12-01,195503.653956499
1982-01-01,198732
1982-02-01,200992.85662546
1982-03-01,203952.803916727
1982-04-01,209680
1982-05-01,219172.208102819
1982-06-01,229145.611858075
1982-07-01,235246
1982-08-01,234347.348000302
1982-09-01,228236.378280603
1982-10-01,219928
1982-11-01,211895.214710787
1982-12-01,204443.393538033
1983-01-01,197336
1983-02-01,190528.274638031
1983-03-01,184742.566085784
1983-04-01,180893
1983-05-01,179504.353403757
1983-06-01,179544.008785496
1983-07-01,179590
1983-08-01,178735.941376572
1983-09-01,178137.769142602
1983-10-01,179467
1983-11-01,183778.103312177
1983-12-01,189657.35908854
1984-01-01,195074
1984-02-01,198436.349078425
1984-03-01,199909.090799532
1984-04-01,200096
1984-05-01,199833.796670419
1984-06-01,200890.981417034
1984-07-01,205269
1984-08-01,214051.204980639
1984-09-01,224648.576124926
1984-10-01,233554
1984-11-01,238221.56859221
1984-12-01,239950.195564743
1985-01-01,241000
1985-02-01,243053.965094967
1985-03-01,245486.530504989
1985-04-01,247095
1985-05-01,246990.274731626
1985-06-01,245537.645378262
1985-07-01,243416
1985-08-01,241451.528571123
1985-09-01,241059.628722702
1985-10-01,243803
1985-11-01,250505.722094992
1985-12-01,259037.395286486
1986-01-01,266529
1986-02-01,271001.360826686
1986-03-01,274034.679020242
1986-04-01,278099
1986-05-01,284733.612376041
1986-06-01,291754.777521435
1986-07-01,296048
1986-08-01,295637.18966915
1986-09-01,293099.877560685
1986-10-01,292152
1986-11-01,295341.740058469
1986-12-01,300546.26779138
1987-01-01,304475
1987-02-01,304792.479726603
1987-03-01,302983.754977497
1987-04-01,301489
1987-05-01,302114.748442527
1987-06-01,304132.971557891
1987-07-01,306182
1987-08-01,307537.156132917
1987-09-01,310021.729161311
1987-10-01,316096
1987-11-01,326895.219618395
1987-12-01,338254.519204273
1988-01-01,344684
1988-02-01,342483.150578686
1988-03-01,335109.008836411
1988-04-01,327808
1988-05-01,324654.289177972
1988-06-01,325033.001005637
1988-07-01,327157
1988-08-01,329710.729746462
1988-09-01,333264.950104003
1988-10-01,338862
1988-11-01,347052.643688032
1988-12-01,356421.346726498
1989-01-01,365061
1989-02-01,371743.065871779
1989-03-01,377953.292619634
1989-04-01,385856
1989-05-01,396705.129861887
1989-06-01,408113.112424596
1989-07-01,416782
1989-08-01,420770.599865856
1989-09-01,423564.739163462
1989-10-01,430007
1989-11-01,442941.729933947
1989-12-01,457220.338328962
1990-01-01,465696
1990-02-01,463831.443361318
1990-03-01,457527.611224392
1990-04-01,455295
1990-05-01,463005.904028187
