"Date" "S&P 500 PE Ratio"
"1974-01-01" 11.68
"1974-02-01" 11.27
"1974-03-01" 11.66
"1974-04-01" 10.89
"1974-05-01" 10.41
"1974-06-01" 10.27
"1974-07-01" 8.95
"1974-08-01" 8.46
"1974-09-01" 7.48
"1974-10-01" 7.68
"1974-11-01" 8
"1974-12-01" 7.54
"1975-01-01" 8.3
"1975-02-01" 9.32
"1975-03-01" 9.91
"1975-04-01" 10.22
"1975-05-01" 11.09
"1975-06-01" 11.61
"1975-07-01" 11.72
"1975-08-01" 10.95
"1975-09-01" 10.91
"1975-10-01" 11.32
"1975-11-01" 11.41
"1975-12-01" 11.14
"1976-01-01" 11.82
"1976-02-01" 11.94
"1976-03-01" 11.67
"1976-04-01" 11.51
"1976-05-01" 11.18
"1976-06-01" 11.01
"1976-07-01" 11.14
"1976-08-01" 10.93
"1976-09-01" 11.05
"1976-10-01" 10.54
"1976-11-01" 10.34
"1976-12-01" 10.57
"1977-01-01" 10.41
"1977-02-01" 10.08
"1977-03-01" 9.98
"1977-04-01" 9.72
"1977-05-01" 9.58
"1977-06-01" 9.53
"1977-07-01" 9.53
"1977-08-01" 9.21
"1977-09-01" 8.99
"1977-10-01" 8.7
"1977-11-01" 8.71
"1977-12-01" 8.62
"1978-01-01" 8.28
"1978-02-01" 8.16
"1978-03-01" 8.13
"1978-04-01" 8.41
"1978-05-01" 8.75
"1978-06-01" 8.7
"1978-07-01" 8.57
"1978-08-01" 9.07
"1978-09-01" 8.98
"1978-10-01" 8.51
"1978-11-01" 7.84
"1978-12-01" 7.79
"1979-01-01" 7.88
"1979-02-01" 7.57
"1979-03-01" 7.53
"1979-04-01" 7.55
"1979-05-01" 7.25
"1979-06-01" 7.27
"1979-07-01" 7.23
"1979-08-01" 7.45
"1979-09-01" 7.42
"1979-10-01" 7.11
"1979-11-01" 7.01
"1979-12-01" 7.25
"1980-01-01" 7.39
"1980-02-01" 7.61
"1980-03-01" 6.85
"1980-04-01" 6.79
"1980-05-01" 7.15
"1980-06-01" 7.67
"1980-07-01" 8.07
"1980-08-01" 8.38
"1980-09-01" 8.64
"1980-10-01" 8.86
"1980-11-01" 9.19
"1980-12-01" 9.01
"1981-01-01" 9.02
"1981-02-01" 8.76
"1981-03-01" 9.14
"1981-04-01" 9.13
"1981-05-01" 8.86
"1981-06-01" 8.81
"1981-07-01" 8.55
"1981-08-01" 8.54
"1981-09-01" 7.75
"1981-10-01" 7.83
"1981-11-01" 8.02
"1981-12-01" 8.06
"1982-01-01" 7.73
"1982-02-01" 7.64
"1982-03-01" 7.48
"1982-04-01" 7.97
"1982-05-01" 8.09
"1982-06-01" 7.74
"1982-07-01" 7.83
"1982-08-01" 7.97
"1982-09-01" 9.03
"1982-10-01" 10.01
"1982-11-01" 10.67
"1982-12-01" 11.03
"1983-01-01" 11.48
"1983-02-01" 11.75
"1983-03-01" 12.23
"1983-04-01" 12.64
"1983-05-01" 13.09
"1983-06-01" 13.22
"1983-07-01" 13.02
"1983-08-01" 12.43
"1983-09-01" 12.57
"1983-10-01" 12.38
"1983-11-01" 11.98
"1983-12-01" 11.72
"1984-01-01" 11.52
"1984-02-01" 10.59
"1984-03-01" 10.31
"1984-04-01" 10.12
"1984-05-01" 9.86
"1984-06-01" 9.45
"1984-07-01" 9.26
"1984-08-01" 10
"1984-09-01" 10.03
"1984-10-01" 9.94
"1984-11-01" 10.01
"1984-12-01" 9.89
"1985-01-01" 10.36
"1985-02-01" 10.98
"1985-03-01" 10.95
"1985-04-01" 11.2
"1985-05-01" 11.65
"1985-06-01" 12.1
"1985-07-01" 12.43
"1985-08-01" 12.26
"1985-09-01" 12.09
"1985-10-01" 12.39
"1985-11-01" 13.33
"1985-12-01" 14.19
"1986-01-01" 14.28
"1986-02-01" 15.08
"1986-03-01" 16
"1986-04-01" 16.32
"1986-05-01" 16.28
"1986-06-01" 16.68
"1986-07-01" 16.28
"1986-08-01" 16.55
"1986-09-01" 16.05
"1986-10-01" 16.12
"1986-11-01" 16.78
"1986-12-01" 17.17
"1987-01-01" 18.01
"1987-02-01" 18.86
"1987-03-01" 19.37
"1987-04-01" 19.45
"1987-05-01" 19.74
"1987-06-01" 20.9
"1987-07-01" 20.81
"1987-08-01" 21.42
"1987-09-01" 20.09
"1987-10-01" 17.08
"1987-11-01" 14.45
"1987-12-01" 13.77
"1988-01-01" 14.02
"1988-02-01" 14.16
"1988-03-01" 14.29
"1988-04-01" 13.39
"1988-05-01" 12.41
"1988-06-01" 12.49
"1988-07-01" 12.22
"1988-08-01" 11.78
"1988-09-01" 11.79
"1988-10-01" 12.02
"1988-11-01" 11.57
"1988-12-01" 11.64
"1989-01-01" 11.82
"1989-02-01" 11.97
"1989-03-01" 11.73
"1989-04-01" 12.07
"1989-05-01" 12.49
"1989-06-01" 12.84
"1989-07-01" 13.43
"1989-08-01" 14.32
"1989-09-01" 14.66
"1989-10-01" 14.84
"1989-11-01" 14.7
"1989-12-01" 15.24
"1990-01-01" 15.13
"1990-02-01" 14.97
"1990-03-01" 15.62
"1990-04-01" 15.7
"1990-05-01" 16.37
"1990-06-01" 16.95
"1990-07-01" 16.81
"1990-08-01" 15.33
"1990-09-01" 14.51
"1990-10-01" 14.21
"1990-11-01" 14.68
"1990-12-01" 15.41
"1991-01-01" 15.35
"1991-02-01" 17.19
"1991-03-01" 17.78
"1991-04-01" 18.58
"1991-05-01" 18.98
"1991-06-01" 19.49
"1991-07-01" 20.14
"1991-08-01" 21.22
"1991-09-01" 21.73
"1991-10-01" 22.49
"1991-11-01" 23.27
"1991-12-01" 24.33
"1992-01-01" 25.93
"1992-02-01" 25.6
"1992-03-01" 25.16
"1992-04-01" 24.73
"1992-05-01" 24.75
"1992-06-01" 23.95
"1992-07-01" 23.88
"1992-08-01" 23.6
"1992-09-01" 23.2
"1992-10-01" 22.43
"1992-11-01" 22.56
"1992-12-01" 22.82
"1993-01-01" 22.5
"1993-02-01" 22.55
"1993-03-01" 22.69
"1993-04-01" 22.53
"1993-05-01" 22.83
"1993-06-01" 23.18
"1993-07-01" 22.72
"1993-08-01" 22.65
"1993-09-01" 22.5
"1993-10-01" 22.19
"1993-11-01" 21.63
"1993-12-01" 21.29
"1994-01-01" 21.34
"1994-02-01" 21.02
"1994-03-01" 20.42
"1994-04-01" 19
"1994-05-01" 18.5
"1994-06-01" 18.05
"1994-07-01" 17.42
"1994-08-01" 17.44
"1994-09-01" 17.09
"1994-10-01" 16.32
"1994-11-01" 15.62
"1994-12-01" 14.88
"1995-01-01" 14.89
"1995-02-01" 15.11
"1995-03-01" 15.15
"1995-04-01" 15.31
"1995-05-01" 15.5
"1995-06-01" 15.67
"1995-07-01" 16.07
"1995-08-01" 16.01
"1995-09-01" 16.45
"1995-10-01" 16.76
"1995-11-01" 17.33
"1995-12-01" 18.1
"1996-01-01" 18.08
"1996-02-01" 19.1
"1996-03-01" 19.01
"1996-04-01" 18.85
"1996-05-01" 19.1
"1996-06-01" 19.15
"1996-07-01" 18.26
"1996-08-01" 18.6
"1996-09-01" 18.75
"1996-10-01" 19
"1996-11-01" 19.45
"1996-12-01" 19.19
"1997-01-01" 19.53
"1997-02-01" 20.09
"1997-03-01" 19.69
"1997-04-01" 18.94
"1997-05-01" 20.6
"1997-06-01" 21.61
"1997-07-01" 22.8
"1997-08-01" 22.83
"1997-09-01" 23.06
"1997-10-01" 23.58
"1997-11-01" 23.46
"1997-12-01" 24.23
"1998-01-01" 24.29
"1998-02-01" 25.85
"1998-03-01" 27.23
"1998-04-01" 28.26
"1998-05-01" 28.3
"1998-06-01" 28.44
"1998-07-01" 29.9
"1998-08-01" 28
"1998-09-01" 26.8
"1998-10-01" 27.2
"1998-11-01" 30.25
"1998-12-01" 31.56
"1999-01-01" 32.92
"1999-02-01" 32.67
"1999-03-01" 33.39
"1999-04-01" 34
"1999-05-01" 33.19
"1999-06-01" 32.24
"1999-07-01" 32.88
"1999-08-01" 30.89
"1999-09-01" 29.99
"1999-10-01" 28.66
"1999-11-01" 29.74
"1999-12-01" 29.66
"2000-01-01" 29.04
"2000-02-01" 27.76
"2000-03-01" 28.31
"2000-04-01" 28.5
"2000-05-01" 27.49
"2000-06-01" 28.16
"2000-07-01" 28.05
"2000-08-01" 27.97
"2000-09-01" 27.34
"2000-10-01" 26.5
"2000-11-01" 26.9
"2000-12-01" 26.62
"2001-01-01" 27.55
"2001-02-01" 27.81
"2001-03-01" 26.1
"2001-04-01" 27.96
"2001-05-01" 32.02
"2001-06-01" 33.67
"2001-07-01" 35.46
"2001-08-01" 37.85
"2001-09-01" 36.9
"2001-10-01" 39.72
"2001-11-01" 43.62
"2001-12-01" 46.37
"2002-01-01" 46.17
"2002-02-01" 44.57
"2002-03-01" 46.71
"2002-04-01" 43.81
"2002-05-01" 41.41
"2002-06-01" 37.92
"2002-07-01" 32.46
"2002-08-01" 31.53
"2002-09-01" 28.89
"2002-10-01" 29.24
"2002-11-01" 32.03
"2002-12-01" 32.59
"2003-01-01" 31.43
"2003-02-01" 28.46
"2003-03-01" 27.92
"2003-04-01" 28.05
"2003-05-01" 28.24
"2003-06-01" 28.6
"2003-07-01" 27.65
"2003-08-01" 26.57
"2003-09-01" 26.42
"2003-10-01" 24.75
"2003-11-01" 23.15
"2003-12-01" 22.17
"2004-01-01" 22.73
"2004-02-01" 22.46
"2004-03-01" 21.61
"2004-04-01" 21.23
"2004-05-01" 20.14
"2004-06-01" 20.17
"2004-07-01" 19.51
"2004-08-01" 19.03
"2004-09-01" 19.35
"2004-10-01" 19.25
"2004-11-01" 20.05
"2004-12-01" 20.48
"2005-01-01" 19.99
"2005-02-01" 20.11
"2005-03-01" 19.84
"2005-04-01" 19.02
"2005-05-01" 18.93
"2005-06-01" 19
"2005-07-01" 19
"2005-08-01" 18.72
"2005-09-01" 18.44
"2005-10-01" 17.64
"2005-11-01" 18.01
"2005-12-01" 18.07
"2006-01-01" 18.07
"2006-02-01" 17.8
"2006-03-01" 17.8
"2006-04-01" 17.77
"2006-05-01" 17.46
"2006-06-01" 16.82
"2006-07-01" 16.61
"2006-08-01" 16.67
"2006-09-01" 16.77
"2006-10-01" 17.14
"2006-11-01" 17.24
"2006-12-01" 17.38
"2007-01-01" 17.36
"2007-02-01" 17.49
"2007-03-01" 16.92
"2007-04-01" 17.48
"2007-05-01" 17.92
"2007-06-01" 17.83
"2007-07-01" 18.36
"2007-08-01" 18.02
"2007-09-01" 19.05
"2007-10-01" 20.68
"2007-11-01" 20.81
"2007-12-01" 22.35
"2008-01-01" 21.46
"2008-02-01" 21.74
"2008-03-01" 21.81
"2008-04-01" 23.88
"2008-05-01" 25.81
"2008-06-01" 26.11
"2008-07-01" 25.37
"2008-08-01" 26.83
"2008-09-01" 26.48
"2008-10-01" 27.22
"2008-11-01" 34.99
"2008-12-01" 58.98
"2009-01-01" 70.91
"2009-02-01" 84.46
